facility_code,facility_name,facility_major_type,facility_type,facility_category,ownership_major,is_private,is_licensed,city_raw,city_norm,barangay,service_capability,doh_level,service_level_weight,bed_capacity,license_status
DOH000000000040952,LCC1 MEDICAL AND DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF VALENZUELA,VALENZUELA,BIGNAY,,0,1.5,0,Licensing Status:With License
DOH000000000046622,LDC DIAGNOSTICS,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF PASIG,PASIG,ROSARIO,Level 2,2,3.0,0,Licensing Status:With License
DOH000000000049643,LEANN-DREW DRUG TESTING AND DIAGNOSTIC CENTER,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,SANTA CRUZ,MANILA,BARANGAY 353,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000004500,LEVERIZA HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,PASAY CITY,PASAY,BARANGAY 23,,0,1.5,0,Licensing Status:With License
DOH000000000049644,LEVI MARIANO LABORATORY MEDICAL SERVICES CO.,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,CITY OF TAGUIG,TAGUIG,USUSAN,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000040535,LGC CARE MATERNITY MEDICAL CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,GULOD,,0,1.5,2,Licensing Status:With License
DOH000000000033222,LHR LYING IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,SAUYO,,0,1.5,2,Licensing Status:With License
DOH000000000044185,LIBIS BAESA SATELLITE CENTER,Health Facility,Barangay Health Station,bhs,Government,0,0,CITY OF CALOOCAN,CALOOCAN,BARANGAY 160,,0,1.5,0,
DOH000000000002624,LIBIS HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,QUEZON CITY,QUEZON CITY,LIBIS,Level 1,1,2.5,0,
DOH000000000040635,LIEZEL MORALES PAANAKAN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF TAGUIG,TAGUIG,UPPER BICUTAN,,0,1.5,3,Licensing Status:With License
DOH000000000054591,LIFE BASKET MATERNITY CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF PARA?AQUE,PARANAQUE,TAMBO,,0,1.5,0,Licensing Status:With License
DOH000000000052437,LIFEBLOOM LYING-IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,PAYATAS,,0,1.5,2,Licensing Status:With License
DOH000000000052431,LIFECONNECT LABORATORY AND MULTISPECIALTY CLINIC INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,QUEZON CITY,QUEZON CITY,HOLY SPIRIT,,0,1.5,0,Licensing Status:With License
DOH000000000052481,LIFECORE BIO INTEGRATIVE INC.,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF TAGUIG,TAGUIG,FORT BONIFACIO,,0,1.5,0,Licensing Status:With License
DOH000000000041106,LIFEGEN LABORATORY AND DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF PARA?AQUE,PARANAQUE,B. F. HOMES,,0,1.5,0,Licensing Status:With License
DOH000000000050543,"LIFELINE 16911 MEDICAL, INC.",Health Facility,Ambulance Service Provider,ambulance,Private,1,1,CITY OF PARA?AQUE,PARANAQUE,SAN MARTIN DE PORRES,,0,0.5,0,Licensing Status:With License
DOH000000000051705,LIFENURTURE INCORPORATED,Health Facility,Ambulatory Surgical Clinic,clinic,Private,1,1,CITY OF MAKATI,MAKATI,BEL-AIR,,0,1.5,0,Licensing Status:With License
DOH000000000045959,LIFT-UP HOME CARE CENTER,Health Facility,Psychiatric Care Facility,other,Private,1,1,CITY OF MARIKINA,MARIKINA,CONCEPCION UNO,Custodial Psychiatric Care,0,2.0,12,Licensing Status:With License
DOH000000000040558,LIGHT OF JESUS BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,1,CITY OF CALOOCAN,CALOOCAN,BARANGAY 176-A,,0,1.5,3,Licensing Status:With License
DOH000000000004082,LIGID HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF TAGUIG,TAGUIG,LIGID-TIPAS,,0,1.5,0,
DOH000000000029731,LIGID SUPER HEALTH CENTER (SPECIAL HEALTH UNIT),Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF TAGUIG,TAGUIG,LIGID-TIPAS,,0,1.5,0,
DOH000000000050187,LIGID-TIPAS SUPER HEALTH CENTER,Health Facility,Birthing Home,birthing,Government,0,1,CITY OF TAGUIG,TAGUIG,LIGID-TIPAS,,0,1.5,2,Licensing Status:With License
DOH000000000052465,LILAC MEDICAL CLINIC AND LABORATORY CORP.,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MARIKINA,MARIKINA,CONCEPCION DOS,,0,1.5,0,Licensing Status:With License
DOH000000000040708,LIMBAUAN BIRTHING HOME,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,NOVALICHES PROPER,,0,1.5,1,Licensing Status:With License
DOH000000000045966,LINDA'S LYING-IN CLINIC,Health Facility,Birthing Home,birthing,Private,1,1,QUEZON CITY,QUEZON CITY,PAYATAS,,0,1.5,2,Licensing Status:With License
